config,case,init,instellation,ps_bar,d0,cloudir,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,n_years,state,diffadj,rot_scaling,D,dt,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
constant_c-55,12,warm,1500,2.98,3.33,-55.0,4029.082,3947.424,4157.315,354.13180666155966,367.8694477261505,13.737641064590832,36.07600000000002,822,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000457763671875,11.6,0,
constant_c-55,13,warm,1600,0.16,3.33,-55.0,2833.766,2756.342,2980.306,347.8650126543195,392.5038060067706,44.6387933524511,135.61200000000008,184,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00042724609375,2.6,0,
constant_c-55,14,warm,900,1.44,3.33,-55.0,233.403,196.8,291.938,201.90306520641087,203.37358783667855,1.4705226302676806,-0.11000000000001364,30,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.000335693359375,0.4,0,
constant_c-55,15,warm,600,0.43,3.33,-55.0,181.53,158.847,215.927,119.3999434522005,120.17797101943498,0.7780275672344743,-0.09000000000000341,27,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0004425048828125,0.3,0,
constant_c-55,16,warm,1400,10.0,3.33,-55.0,444.814,368.201,559.357,339.7113040346703,342.2516402981547,2.5403362634843916,0.07400000000001228,88,equilibrium,False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,1.3,0,
constant_c-60,1,warm,500,0.7,3.33,-60.0,159.889,139.959,189.642,99.08416860873294,99.73343973686536,0.6492711281324262,-0.06799999999998363,33,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0002899169921875,0.5,0,
constant_c-60,2,warm,1900,7.85,3.33,-60.0,47549.344,nan,nan,377.8818436506856,465.78998558219905,87.90814193151346,274.1229999999996,1615,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00042724609375,23.8,0,
constant_c-60,3,warm,2400,0.21,3.33,-60.0,22576.491,nan,nan,355.09942192627625,588.7508689562319,233.65144702995565,743.4780000000028,299,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00030517578125,4.4,0,
constant_c-60,4,warm,1200,2.34,3.33,-60.0,297.022,240.662,385.893,290.1030190113855,292.27607192261667,2.1730529112311388,0.03999999999996362,20,equilibrium,False,False,3.33,1350.0,0.0,90.0,-23.438,113.438,True,3.0517578125e-05,0.3,0,
constant_c-60,5,warm,1500,0.16,3.33,-60.0,746.983,666.0,875.948,352.0690485805428,367.9721970352606,15.90314845471778,43.08999999999992,93,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,1.4,0,
constant_c-60,6,warm,2100,1.83,3.33,-60.0,39279.397,nan,nan,363.506519067264,515.0727491167302,151.56623004946618,479.2350000000006,799,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,11.4,0,
