# FILLET Exp3 with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 3
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
39 1.29 23.5    280.0 316.88 90.0 90.0  -90.0 -90.00 0.50 343.54
40 1.30 23.5    280.0 318.09 90.0 90.0  -90.0 -90.00 0.50 347.34
41 1.31 23.5    280.0 319.28 90.0 90.0  -90.0 -90.00 0.50 351.08
42 1.32 23.5    280.0 320.47 90.0 90.0  -90.0 -90.00 0.50 354.88
43 1.34 23.5    280.0 321.66 90.0 90.0  -90.0 -90.00 0.50 358.67
44 1.35 23.5    280.0 322.83 90.0 90.0  -90.0 -90.00 0.50 362.46
45 1.36 23.5    280.0 324.00 90.0 90.0  -90.0 -90.00 0.50 366.24
46 1.38 23.5    280.0 325.16 90.0 90.0  -90.0 -90.00 0.50 370.01
47 1.39 23.5    280.0 326.32 90.0 90.0  -90.0 -90.00 0.50 373.76
48 1.40 23.5    280.0 327.46 90.0 90.0  -90.0 -90.00 0.50 377.45
49 1.41 23.5    280.0 328.62 90.0 90.0  -90.0 -90.00 0.50 381.19
50 1.43 23.5    280.0 329.77 90.0 90.0  -90.0 -90.00 0.50 384.93
51 1.44 23.5    280.0 330.91 90.0 90.0  -90.0 -90.00 0.50 388.66
52 1.45 23.5    280.0 332.05 90.0 90.0  -90.0 -90.00 0.50 392.40
53 1.46 23.5    280.0 333.19 90.0 90.0  -90.0 -90.00 0.50 396.12
54 1.47 23.5    280.0 334.31 90.0 90.0  -90.0 -90.00 0.50 399.82
55 1.49 23.5    280.0 335.43 90.0 90.0  -90.0 -90.00 0.50 403.51
56 1.50 23.5    280.0 336.55 90.0 90.0  -90.0 -90.00 0.50 407.18
57 1.50 23.5    280.0 336.55 90.0 90.0  -90.0 -90.00 0.50 407.19
58 1.49 23.5    280.0 335.43 90.0 90.0  -90.0 -90.00 0.50 403.51
59 1.47 23.5    280.0 334.31 90.0 90.0  -90.0 -90.00 0.50 399.83
60 1.46 23.5    280.0 333.19 90.0 90.0  -90.0 -90.00 0.50 396.13
61 1.45 23.5    280.0 332.06 90.0 90.0  -90.0 -90.00 0.50 392.41
62 1.44 23.5    280.0 330.92 90.0 90.0  -90.0 -90.00 0.50 388.69
63 1.43 23.5    280.0 329.77 90.0 90.0  -90.0 -90.00 0.50 384.96
64 1.41 23.5    280.0 328.63 90.0 90.0  -90.0 -90.00 0.50 381.22
65 1.40 23.5    280.0 327.47 90.0 90.0  -90.0 -90.00 0.50 377.49
66 1.39 23.5    280.0 326.32 90.0 90.0  -90.0 -90.00 0.50 373.75
67 1.38 23.5    280.0 325.16 90.0 90.0  -90.0 -90.00 0.50 370.00
68 1.36 23.5    280.0 324.00 90.0 90.0  -90.0 -90.00 0.50 366.24
69 1.35 23.5    280.0 322.84 90.0 90.0  -90.0 -90.00 0.50 362.47
70 1.34 23.5    280.0 321.66 90.0 90.0  -90.0 -90.00 0.50 358.69
71 1.32 23.5    280.0 320.48 90.0 90.0  -90.0 -90.00 0.50 354.90
72 1.31 23.5    280.0 319.29 90.0 90.0  -90.0 -90.00 0.50 351.11
73 1.30 23.5    280.0 318.09 90.0 90.0  -90.0 -90.00 0.50 347.33
74 1.29 23.5    280.0 316.88 90.0 90.0  -90.0 -90.00 0.50 343.54
75 1.27 23.5    280.0 315.66 90.0 90.0  -90.0 -90.00 0.50 339.73
76 1.26 23.5    280.0 314.42 90.0 90.0  -90.0 -90.00 0.50 335.92
77 1.25 23.5    280.0 313.17 90.0 90.0  -90.0 -90.00 0.50 332.09
78 1.24 23.5    280.0 311.91 90.0 90.0  -90.0 -90.00 0.50 328.26
79 1.23 23.5    280.0 310.62 90.0 90.0  -90.0 -90.00 0.50 324.42
80 1.21 23.5    280.0 309.32 90.0 90.0  -90.0 -90.00 0.50 320.58
81 1.20 23.5    280.0 308.00 90.0 90.0  -90.0 -90.00 0.50 316.73
82 1.19 23.5    280.0 306.64 90.0 90.0  -90.0 -90.00 0.50 312.83
83 1.17 23.5    280.0 305.22 90.0 90.0  -90.0 -90.00 0.50 308.89
84 1.16 23.5    280.0 303.69 90.0 90.0  -90.0 -90.00 0.50 304.78
85 1.15 23.5    280.0 302.11 90.0 90.0  -90.0 -90.00 0.50 300.63
86 1.14 23.5    280.0 300.50 90.0 90.0  -90.0 -90.00 0.50 296.44
87 1.12 23.5    280.0 298.60 90.0 90.0  -90.0 -90.00 0.50 291.59
88 1.11 23.5    280.0 296.70 90.0 90.0  -90.0 -90.00 0.50 286.83
89 1.10 23.5    280.0 294.83 90.0 83.3  -83.1 -90.00 0.50 282.25
90 1.09 23.5    280.0 292.70 90.0 73.8  -73.6 -90.00 0.50 277.21
91 1.07 23.5    280.0 290.31 90.0 69.2  -68.8 -90.00 0.50 271.63
92 1.06 23.5    280.0 288.34 90.0 66.1  -64.8 -90.00 0.50 267.03
93 1.05 23.5    280.0 286.23 90.0 62.5  -62.3 -90.00 0.50 262.17
94 1.04 23.5    280.0 283.38 90.0 58.4  -58.4 -90.00 0.50 255.70
95 1.02 23.5    280.0 280.25 90.0 54.2  -54.2 -90.00 0.50 248.68
96 1.01 23.5    280.0 277.02 90.0 50.3  -50.3 -90.00 0.50 241.45
97 1.00 23.5    280.0 271.96 90.0 44.0  -44.0 -90.00 0.50 230.16
98 0.99 23.5    280.0 226.17 90.0  0.0    0.0 -90.00 0.50 134.70
99 0.97 23.5    280.0 225.06 90.0  0.0    0.0 -90.00 0.50 132.60
100 0.96 23.5    280.0 223.96 90.0  0.0    0.0 -90.00 0.50 130.51
101 0.95 23.5    280.0 222.86 90.0  0.0    0.0 -90.00 0.50 128.45
102 0.94 23.5    280.0 221.77 90.0  0.0    0.0 -90.00 0.50 126.42
103 0.93 23.5    280.0 220.69 90.0  0.0    0.0 -90.00 0.50 124.42
104 0.91 23.5    280.0 219.61 90.0  0.0    0.0 -90.00 0.50 122.44
105 0.90 23.5    280.0 218.54 90.0  0.0    0.0 -90.00 0.50 120.49
106 0.89 23.5    280.0 217.47 90.0  0.0    0.0 -90.00 0.50 118.55
107 0.87 23.5    280.0 216.40 90.0  0.0    0.0 -90.00 0.50 116.63
108 0.86 23.5    280.0 215.34 90.0  0.0    0.0 -90.00 0.50 114.73
109 0.85 23.5    280.0 214.28 90.0  0.0    0.0 -90.00 0.50 112.85
110 0.84 23.5    280.0 213.22 90.0  0.0    0.0 -90.00 0.50 110.99
111 0.82 23.5    280.0 212.16 90.0  0.0    0.0 -90.00 0.50 109.15
112 0.81 23.5    280.0 211.10 90.0  0.0    0.0 -90.00 0.50 107.32
113 0.80 23.5    280.0 210.05 90.0  0.0    0.0 -90.00 0.50 105.51
