# fco2  tg0  zy  surfalb  OLR  PALB
  9.90099010E-03  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.81850000E+05  2.01950000E-01
  2.91262136E-02  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.71100000E+05  2.01750000E-01
  5.66037736E-02  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.61350000E+05  2.02500000E-01
  9.09090909E-02  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.44000000E+05  2.05650000E-01
  2.30769231E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.19550000E+05  2.16250000E-01
  3.75000000E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.03950000E+05  2.29750000E-01
  5.00000000E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  9.17600000E+04  2.46800000E-01
  6.66666667E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  7.82900000E+04  2.79850000E-01
  7.50000000E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  7.29500000E+04  3.05450000E-01
  8.00000000E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  7.00350000E+04  3.32650000E-01
  8.33333333E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  6.91250000E+04  3.49500000E-01
  8.57142857E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  6.87300000E+04  3.64750000E-01
  8.75000000E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  6.86650000E+04  3.69700000E-01
  8.88888889E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  6.86650000E+04  3.69700000E-01
  9.00000000E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  6.86650000E+04  3.69700000E-01
  9.09090909E-01  2.65000000E+02  0.00000000E+00  2.00000000E-01  6.86650000E+04  3.69700000E-01
  9.99999000E-07  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.65260000E+05  1.87520000E-01
  2.99999100E-06  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.65260000E+05  1.87520000E-01
  5.99996400E-06  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.65260000E+05  1.87520000E-01
  9.99990000E-06  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.65260000E+05  1.87520000E-01
  2.99991000E-05  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.65260000E+05  1.87520000E-01
  5.99964002E-05  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.65260000E+05  1.87520000E-01
  9.99900010E-05  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.63180000E+05  1.87420000E-01
  2.99910027E-04  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.56900000E+05  1.87100000E-01
  5.99640216E-04  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.52560000E+05  1.86700000E-01
  9.99000999E-04  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.49600000E+05  1.86500000E-01
  2.99102692E-03  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.41660000E+05  1.85880000E-01
  5.96421471E-03  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.35400000E+05  1.85480000E-01
  9.90099010E-03  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.28000000E+05  1.85060000E-01
  2.91262136E-02  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.15300000E+05  1.85060000E-01
  5.66037736E-02  2.88000000E+02  0.00000000E+00  2.00000000E-01  2.03980000E+05  1.85860000E-01
  9.09090909E-02  2.88000000E+02  0.00000000E+00  2.00000000E-01  1.82820000E+05  1.89140000E-01
  2.30769231E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  1.49700000E+05  2.00140000E-01
  3.75000000E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  1.27280000E+05  2.14280000E-01
  5.00000000E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  1.09800000E+05  2.32500000E-01
  6.66666667E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  8.98620000E+04  2.67020000E-01
  7.50000000E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  8.10140000E+04  2.93180000E-01
  8.00000000E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.53500000E+04  3.20920000E-01
  8.33333333E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.30940000E+04  3.38100000E-01
  8.57142857E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.16940000E+04  3.53840000E-01
  8.75000000E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.13440000E+04  3.59040000E-01
  8.88888889E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.13440000E+04  3.59040000E-01
  9.00000000E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.13440000E+04  3.59040000E-01
  9.09090909E-01  2.88000000E+02  0.00000000E+00  2.00000000E-01  7.13440000E+04  3.59040000E-01
  9.99999000E-07  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.92900000E+05  1.76500000E-01
  2.99999100E-06  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.92900000E+05  1.76500000E-01
  5.99996400E-06  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.92900000E+05  1.76500000E-01
  9.99990000E-06  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.92900000E+05  1.76500000E-01
  2.99991000E-05  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.92900000E+05  1.76500000E-01
  5.99964002E-05  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.92900000E+05  1.76500000E-01
  9.99900010E-05  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.90429358E+05  1.76400000E-01
  2.99910027E-04  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.83942220E+05  1.76100000E-01
  5.99640216E-04  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.79356812E+05  1.75900000E-01
  9.99000999E-04  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.76160045E+05  1.75700000E-01
  2.99102692E-03  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.67557938E+05  1.75200000E-01
  5.96421471E-03  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.61169694E+05  1.74800000E-01
  9.90099010E-03  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.55574678E+05  1.74400000E-01
  2.91262136E-02  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.40947797E+05  1.74500000E-01
  5.66037736E-02  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.27782880E+05  1.75300000E-01
  9.09090909E-02  3.00000000E+02  0.00000000E+00  2.00000000E-01  2.14048147E+05  1.78600000E-01
  2.30769231E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  1.73666260E+05  1.89700000E-01
  3.75000000E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  1.42351432E+05  2.04100000E-01
  5.00000000E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  1.21346868E+05  2.22800000E-01
  6.66666667E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  9.74317196E+04  2.58500000E-01
  7.50000000E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  8.64586356E+04  2.85100000E-01
  8.00000000E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  8.04616962E+04  3.13300000E-01
  8.33333333E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  7.68538889E+04  3.30700000E-01
  8.57142857E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  7.45582744E+04  3.46600000E-01
  8.75000000E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  7.39200000E+04  3.51900000E-01
  8.88888889E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  7.39200000E+04  3.51900000E-01
  9.00000000E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  7.39200000E+04  3.51900000E-01
  9.09090909E-01  3.00000000E+02  0.00000000E+00  2.00000000E-01  7.39200000E+04  3.51900000E-01
  9.99999000E-07  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.64450000E+05  1.52700000E-01
  2.99999100E-06  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.64450000E+05  1.52700000E-01
  5.99996400E-06  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.64450000E+05  1.52700000E-01
  9.99990000E-06  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.64450000E+05  1.52700000E-01
  2.99991000E-05  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.64450000E+05  1.52700000E-01
  5.99964002E-05  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.64450000E+05  1.52700000E-01
  9.99900010E-05  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.62600000E+05  1.52700000E-01
  2.99910027E-04  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.56300000E+05  1.52600000E-01
  5.99640216E-04  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.51900000E+05  1.52500000E-01
  9.99000999E-04  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.48750000E+05  1.52450000E-01
  2.99102692E-03  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.40100000E+05  1.52300000E-01
  5.96421471E-03  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.33150000E+05  1.52150000E-01
  9.90099010E-03  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.24850000E+05  1.52150000E-01
  2.91262136E-02  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.11550000E+05  1.52650000E-01
  5.66037736E-02  3.25000000E+02  0.00000000E+00  2.00000000E-01  3.00250000E+05  1.53650000E-01
  9.09090909E-02  3.25000000E+02  0.00000000E+00  2.00000000E-01  2.79500000E+05  1.57150000E-01
  2.30769231E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  2.44050000E+05  1.68350000E-01
  3.75000000E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  2.11150000E+05  1.82900000E-01
  5.00000000E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  1.77300000E+05  2.02000000E-01
  6.66666667E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  1.34650000E+05  2.38800000E-01
  7.50000000E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  1.14050000E+05  2.66450000E-01
  8.00000000E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  9.85500000E+04  2.95500000E-01
  8.33333333E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  9.13600000E+04  3.13400000E-01
  8.57142857E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  8.63650000E+04  3.29500000E-01
  8.75000000E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  8.50400000E+04  3.34800000E-01
  8.88888889E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  8.50400000E+04  3.34800000E-01
  9.00000000E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  8.50400000E+04  3.34800000E-01
  9.09090909E-01  3.25000000E+02  0.00000000E+00  2.00000000E-01  8.50400000E+04  3.34800000E-01
  9.99999000E-07  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.50400000E+05  1.37700000E-01
  2.99999100E-06  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.50400000E+05  1.37700000E-01
  5.99996400E-06  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.50400000E+05  1.37700000E-01
  9.99990000E-06  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.50400000E+05  1.37700000E-01
  2.99991000E-05  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.50400000E+05  1.37700000E-01
  5.99964002E-05  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.50400000E+05  1.37700000E-01
  9.99900010E-05  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.48819572E+05  1.37700000E-01
  2.99910027E-04  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.43942220E+05  1.37700000E-01
  5.99640216E-04  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.40256812E+05  1.37700000E-01
  9.99000999E-04  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.37192422E+05  1.37700000E-01
  2.99102692E-03  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.29446350E+05  1.37700000E-01
  5.96421471E-03  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.23569694E+05  1.37800000E-01
  9.90099010E-03  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.18466261E+05  1.38100000E-01
  2.91262136E-02  3.50000000E+02  0.00000000E+00  2.00000000E-01  4.05042487E+05  1.39100000E-01
  5.66037736E-02  3.50000000E+02  0.00000000E+00  2.00000000E-01  3.93515548E+05  1.40500000E-01
  9.09090909E-02  3.50000000E+02  0.00000000E+00  2.00000000E-01  3.81924631E+05  1.44700000E-01
  2.30769231E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  3.47358885E+05  1.56500000E-01
  3.75000000E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  3.11760750E+05  1.70900000E-01
  5.00000000E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  2.75281929E+05  1.89300000E-01
  6.66666667E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  2.10936263E+05  2.24300000E-01
  7.50000000E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.70890538E+05  2.51000000E-01
  8.00000000E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.45778784E+05  2.79500000E-01
  8.33333333E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.28755795E+05  2.97300000E-01
  8.57142857E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.16584086E+05  3.13600000E-01
  8.75000000E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.12900000E+05  3.18700000E-01
  8.88888889E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.12900000E+05  3.18700000E-01
  9.00000000E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.12900000E+05  3.18700000E-01
  9.09090909E-01  3.50000000E+02  0.00000000E+00  2.00000000E-01  1.12900000E+05  3.18700000E-01
  9.99999000E-07  2.00000000E+02  1.50000000E+01  2.00000000E-01  8.33300000E+04  2.29750000E-01
